assembly_code	accession	assembly_accession	assembly_name	species_code	scientific_name	assembly_level	reference	source_database	external_project	file_name	file_type	description
ASM_W3040_PRJEB73710	W3040		W3040 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3040.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3046_PRJEB73710	W3046		W3046 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3046.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3047_PRJEB73710	W3047		W3047 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3047.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3051_PRJEB73710	W3051		W3051 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3051.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3052_PRJEB73710	W3052		W3052 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3052.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3054_PRJEB73710	W3054		W3054 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3054.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3055_PRJEB73710	W3055		W3055 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3055.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3063_PRJEB73710	W3063		W3063 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3063.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3066_PRJEB73710	W3066		W3066 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3066.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3071_PRJEB73710	W3071		W3071 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3071.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3074_PRJEB73710	W3074		W3074 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3074.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3082_PRJEB73710	W3082		W3082 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3082.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3086_PRJEB73710	W3086		W3086 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3086.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3088_PRJEB73710	W3088		W3088 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3088.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3090_PRJEB73710	W3090		W3090 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3090.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3092_PRJEB73710	W3092		W3092 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3092.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W3096_PRJEB73710	W3096		W3096 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W3096.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
