assembly_code	accession	assembly_accession	assembly_name	species_code	scientific_name	assembly_level	reference	source_database	external_project	file_name	file_type	description
ASM_W0630_PRJEB73710	W0630		W0630 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0630.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0632_PRJEB73710	W0632		W0632 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0632.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0634_PRJEB73710	W0634		W0634 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0634.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W0639_PRJEB73710	W0639		W0639 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W0639.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1080_PRJEB73710	W1080		W1080 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1080.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1084_PRJEB73710	W1084		W1084 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1084.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1093_PRJEB73710	W1093		W1093 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1093.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1107_PRJEB73710	W1107		W1107 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1107.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1117_PRJEB73710	W1117		W1117 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1117.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1126_PRJEB73710	W1126		W1126 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1126.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1142_PRJEB73710	W1142		W1142 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1142.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1214_PRJEB73710	W1214		W1214 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1214.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1236_PRJEB73710	W1236		W1236 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1236.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1292_PRJEB73710	W1292		W1292 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1292.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1536_PRJEB73710	W1536		W1536 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1536.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1547_PRJEB73710	W1547		W1547 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1547.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1550_PRJEB73710	W1550		W1550 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1550.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1552_PRJEB73710	W1552		W1552 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1552.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1553_PRJEB73710	W1553		W1553 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1553.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1556_PRJEB73710	W1556		W1556 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1556.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1557_PRJEB73710	W1557		W1557 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1557.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1559_PRJEB73710	W1559		W1559 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1559.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1619_PRJEB73710	W1619		W1619 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1619.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1666_PRJEB73710	W1666		W1666 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1666.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1668_PRJEB73710	W1668		W1668 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1668.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1677_PRJEB73710	W1677		W1677 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1677.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1679_PRJEB73710	W1679		W1679 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1679.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1718_PRJEB73710	W1718		W1718 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1718.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1719_PRJEB73710	W1719		W1719 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1719.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1723_PRJEB73710	W1723		W1723 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1723.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1725_PRJEB73710	W1725		W1725 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1725.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1726_PRJEB73710	W1726		W1726 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1726.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
ASM_W1731_PRJEB73710	W1731		W1731 genome assembly	ORYZA_RUFIPOGON	Oryza rufipogon	chromosome	Nipponbare (日本晴)	Figshare	PRJEB73710	genome.W1731.fasta	FASTA	Wild and cultivated rice pangenome genome assembly
