id	accession	species_id	species_code	sub_population	country	region	longitude	latitude	description
487	W2064		ORYZA_RUFIPOGON	Or-Ib	Bangladesh	South_Asia	89.55013947	22.81666329	KH-5 Khulna, Bangladesh
581	W2066		ORYZA_RUFIPOGON	Or-unspecific	Nepal	South_Asia	81.63556992	28.58475303	Surkhet, Nepal
563	W2099		ORYZA_RUFIPOGON	Or-IIIa	Australia	Oceania	142.5695007	-20.99398491	Queensland, Australia
531	W2108		ORYZA_RUFIPOGON	Or-II	Australia	Oceania	142.6695007	-20.99398491	Queensland, Australia
529	W2197		ORYZA_RUFIPOGON	Or-II	Indonesia	Southeast_Asia	114.2441925	-1.10602914	KL-13 Kalimantan, Indonesia
515	W2267		ORYZA_RUFIPOGON	Or-II	Laos	Southeast_Asia	102.42	18.14	18.14 N, 102.42 E, Laos
535	W2275		ORYZA_RUFIPOGON	Or-IIIa	Thailand	Southeast_Asia	100.37	16.09	CP41 16.09 N, 100.37 E, Thailand
504	W2283		ORYZA_RUFIPOGON	Or-II	Thailand	Southeast_Asia	99.47	16.49	NN59b 16.49 N, 99.47 E, Thailand
497	W2305		ORYZA_RUFIPOGON	Or-Ib	Laos	Southeast_Asia	105.5	14.5	LP9a<br>14.50 N, 105.50 E, Ban Nong Sa, Phakse, Laos
514	W2308		ORYZA_RUFIPOGON	Or-II	Laos	Southeast_Asia	102.38	17.57	LV1<br>17.57 N, 102.38 E, Vientian, Laos
591	W2310		ORYZA_RUFIPOGON	Or-unspecific	Laos	Southeast_Asia	102.36	17.51	LV8<br>17.51 N, 102.36 E, Vientian, Laos
592	W2311		ORYZA_RUFIPOGON	Or-unspecific	Laos	Southeast_Asia	102.46	17.52	LV9<br>17.52 N, 102.36 E, Vientian, Laos
523	W2318		ORYZA_RUFIPOGON	Or-II	Vietnam	Southeast_Asia	106.06	10.24	HT16<br>10.24 N, 106.06 E, Tieng Giang Prov., Vietnam
475	W2319		ORYZA_RUFIPOGON	Or-Ia	Vietnam	Southeast_Asia	106.25	10.33	HT17<br>10.33 N, 106.25 E, Long An Prov., Vietnam
521	W2320		ORYZA_RUFIPOGON	Or-II	Vietnam	Southeast_Asia	105.36	10.42	CT1<br>10.42 N, 105.36 E, Vetnam
522	W2321		ORYZA_RUFIPOGON	Or-II	Vietnam	Southeast_Asia	105.37	10.44	CT3<br>10.44 N, 105.37 E, Tan Cong Sinh vil., Vietnam
474	W2332		ORYZA_RUFIPOGON	Or-Ia	Vietnam	Southeast_Asia	105.8504023	21.03342563	CT17<br>Vietnam
554	W3000		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	110.25089	21.38298	Suixi county, Guangdong
527	W3007		ORYZA_RUFIPOGON	Or-II	China	East_Asia	112.79155	22.37538	Kaiping County, Guangdong Province
559	W3009		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	112.84849	22.889038	Gaoming county, Guangdong
560	W3012		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	113.2614288	23.11891174	Guangzhou city, Guangdong
545	W3029		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	109.19004	21.670145	Hepu county, Guangxi
549	W3033		ORYZA_RUFIPOGON	Or-IIIa	China	East_Asia	109.97141	22.275869	Bobai county, Guangxi
