sample_code	sample_name	species_code	accession	tissue	treatment	replicate	data_type	description	experiment_accession	biosample_accession	run_count	run_accessions	ena_study	instrument_platform	instrument_model
ERX12707395	W3009_seedling	ORYZA_RUFIPOGON	W3009	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396831; ENA_sample=ERS18417412; Experiment=ERX12707395; Run=ERR13336429; source=ENA PRJEB73710	ERX12707395	SAMEA115396831	1	ERR13336429	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707541	W3009_leaf	ORYZA_RUFIPOGON	W3009	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396831; ENA_sample=ERS18417412; Experiment=ERX12707541; Run=ERR13336575; source=ENA PRJEB73710	ERX12707541	SAMEA115396831	1	ERR13336575	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707688	W3009_root	ORYZA_RUFIPOGON	W3009	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396831; ENA_sample=ERS18417412; Experiment=ERX12707688; Run=ERR13336722; source=ENA PRJEB73710	ERX12707688	SAMEA115396831	1	ERR13336722	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707263	W3012_fringe	ORYZA_RUFIPOGON	W3012	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396832; ENA_sample=ERS18417413; Experiment=ERX12707263; Run=ERR13336297; source=ENA PRJEB73710	ERX12707263	SAMEA115396832	1	ERR13336297	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707396	W3012_seedling	ORYZA_RUFIPOGON	W3012	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396832; ENA_sample=ERS18417413; Experiment=ERX12707396; Run=ERR13336430; source=ENA PRJEB73710	ERX12707396	SAMEA115396832	1	ERR13336430	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707542	W3012_leaf	ORYZA_RUFIPOGON	W3012	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396832; ENA_sample=ERS18417413; Experiment=ERX12707542; Run=ERR13336576; source=ENA PRJEB73710	ERX12707542	SAMEA115396832	1	ERR13336576	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707689	W3012_root	ORYZA_RUFIPOGON	W3012	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396832; ENA_sample=ERS18417413; Experiment=ERX12707689; Run=ERR13336723; source=ENA PRJEB73710	ERX12707689	SAMEA115396832	1	ERR13336723	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707264	W3029_fringe	ORYZA_RUFIPOGON	W3029	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396833; ENA_sample=ERS18417414; Experiment=ERX12707264; Run=ERR13336298; source=ENA PRJEB73710	ERX12707264	SAMEA115396833	1	ERR13336298	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707397	W3029_seedling	ORYZA_RUFIPOGON	W3029	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396833; ENA_sample=ERS18417414; Experiment=ERX12707397; Run=ERR13336431; source=ENA PRJEB73710	ERX12707397	SAMEA115396833	1	ERR13336431	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707543	W3029_leaf	ORYZA_RUFIPOGON	W3029	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396833; ENA_sample=ERS18417414; Experiment=ERX12707543; Run=ERR13336577; source=ENA PRJEB73710	ERX12707543	SAMEA115396833	1	ERR13336577	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707690	W3029_root	ORYZA_RUFIPOGON	W3029	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396833; ENA_sample=ERS18417414; Experiment=ERX12707690; Run=ERR13336724; source=ENA PRJEB73710	ERX12707690	SAMEA115396833	1	ERR13336724	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707265	W3033_fringe	ORYZA_RUFIPOGON	W3033	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396834; ENA_sample=ERS18417415; Experiment=ERX12707265; Run=ERR13336299; source=ENA PRJEB73710	ERX12707265	SAMEA115396834	1	ERR13336299	ERP158450	ILLUMINA	Illumina HiSeq 4000
