sample_code	sample_name	species_code	accession	tissue	treatment	replicate	data_type	description	experiment_accession	biosample_accession	run_count	run_accessions	ena_study	instrument_platform	instrument_model
ERX12707557	W3071_leaf	ORYZA_RUFIPOGON	W3071	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396847; ENA_sample=ERS18417428; Experiment=ERX12707557; Run=ERR13336591; source=ENA PRJEB73710	ERX12707557	SAMEA115396847	1	ERR13336591	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707704	W3071_root	ORYZA_RUFIPOGON	W3071	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396847; ENA_sample=ERS18417428; Experiment=ERX12707704; Run=ERR13336738; source=ENA PRJEB73710	ERX12707704	SAMEA115396847	1	ERR13336738	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707558	W3074_leaf	ORYZA_RUFIPOGON	W3074	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396848; ENA_sample=ERS18417429; Experiment=ERX12707558; Run=ERR13336592; source=ENA PRJEB73710	ERX12707558	SAMEA115396848	1	ERR13336592	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707705	W3074_root	ORYZA_RUFIPOGON	W3074	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396848; ENA_sample=ERS18417429; Experiment=ERX12707705; Run=ERR13336739; source=ENA PRJEB73710	ERX12707705	SAMEA115396848	1	ERR13336739	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707410	W3082_seedling	ORYZA_RUFIPOGON	W3082	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396849; ENA_sample=ERS18417430; Experiment=ERX12707410; Run=ERR13336444; source=ENA PRJEB73710	ERX12707410	SAMEA115396849	1	ERR13336444	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707559	W3082_leaf	ORYZA_RUFIPOGON	W3082	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396849; ENA_sample=ERS18417430; Experiment=ERX12707559; Run=ERR13336593; source=ENA PRJEB73710	ERX12707559	SAMEA115396849	1	ERR13336593	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707276	W3086_fringe	ORYZA_RUFIPOGON	W3086	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396850; ENA_sample=ERS18417431; Experiment=ERX12707276; Run=ERR13336310; source=ENA PRJEB73710	ERX12707276	SAMEA115396850	1	ERR13336310	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707411	W3086_seedling	ORYZA_RUFIPOGON	W3086	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396850; ENA_sample=ERS18417431; Experiment=ERX12707411; Run=ERR13336445; source=ENA PRJEB73710	ERX12707411	SAMEA115396850	1	ERR13336445	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707560	W3086_leaf	ORYZA_RUFIPOGON	W3086	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396850; ENA_sample=ERS18417431; Experiment=ERX12707560; Run=ERR13336594; source=ENA PRJEB73710	ERX12707560	SAMEA115396850	1	ERR13336594	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707706	W3086_root	ORYZA_RUFIPOGON	W3086	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396850; ENA_sample=ERS18417431; Experiment=ERX12707706; Run=ERR13336740; source=ENA PRJEB73710	ERX12707706	SAMEA115396850	1	ERR13336740	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707277	W3088_fringe	ORYZA_RUFIPOGON	W3088	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396851; ENA_sample=ERS18417432; Experiment=ERX12707277; Run=ERR13336311; source=ENA PRJEB73710	ERX12707277	SAMEA115396851	1	ERR13336311	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707412	W3088_seedling	ORYZA_RUFIPOGON	W3088	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396851; ENA_sample=ERS18417432; Experiment=ERX12707412; Run=ERR13336446; source=ENA PRJEB73710	ERX12707412	SAMEA115396851	1	ERR13336446	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707561	W3088_leaf	ORYZA_RUFIPOGON	W3088	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396851; ENA_sample=ERS18417432; Experiment=ERX12707561; Run=ERR13336595; source=ENA PRJEB73710	ERX12707561	SAMEA115396851	1	ERR13336595	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707707	W3088_root	ORYZA_RUFIPOGON	W3088	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396851; ENA_sample=ERS18417432; Experiment=ERX12707707; Run=ERR13336741; source=ENA PRJEB73710	ERX12707707	SAMEA115396851	1	ERR13336741	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707413	W3090_seedling	ORYZA_RUFIPOGON	W3090	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396852; ENA_sample=ERS18417433; Experiment=ERX12707413; Run=ERR13336447; source=ENA PRJEB73710	ERX12707413	SAMEA115396852	1	ERR13336447	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707562	W3090_leaf	ORYZA_RUFIPOGON	W3090	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396852; ENA_sample=ERS18417433; Experiment=ERX12707562; Run=ERR13336596; source=ENA PRJEB73710	ERX12707562	SAMEA115396852	1	ERR13336596	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707708	W3090_root	ORYZA_RUFIPOGON	W3090	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396852; ENA_sample=ERS18417433; Experiment=ERX12707708; Run=ERR13336742; source=ENA PRJEB73710	ERX12707708	SAMEA115396852	1	ERR13336742	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707414	W3092_seedling	ORYZA_RUFIPOGON	W3092	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396853; ENA_sample=ERS18417434; Experiment=ERX12707414; Run=ERR13336448; source=ENA PRJEB73710	ERX12707414	SAMEA115396853	1	ERR13336448	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707563	W3092_leaf	ORYZA_RUFIPOGON	W3092	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396853; ENA_sample=ERS18417434; Experiment=ERX12707563; Run=ERR13336597; source=ENA PRJEB73710	ERX12707563	SAMEA115396853	1	ERR13336597	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707709	W3092_root	ORYZA_RUFIPOGON	W3092	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396853; ENA_sample=ERS18417434; Experiment=ERX12707709; Run=ERR13336743; source=ENA PRJEB73710	ERX12707709	SAMEA115396853	1	ERR13336743	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707278	W3096_fringe	ORYZA_RUFIPOGON	W3096	fringe			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396854; ENA_sample=ERS18417435; Experiment=ERX12707278; Run=ERR13336312; source=ENA PRJEB73710	ERX12707278	SAMEA115396854	1	ERR13336312	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707415	W3096_seedling	ORYZA_RUFIPOGON	W3096	seedling			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396854; ENA_sample=ERS18417435; Experiment=ERX12707415; Run=ERR13336449; source=ENA PRJEB73710	ERX12707415	SAMEA115396854	1	ERR13336449	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707564	W3096_leaf	ORYZA_RUFIPOGON	W3096	leaf			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396854; ENA_sample=ERS18417435; Experiment=ERX12707564; Run=ERR13336598; source=ENA PRJEB73710	ERX12707564	SAMEA115396854	1	ERR13336598	ERP158450	ILLUMINA	Illumina HiSeq 4000
ERX12707710	W3096_root	ORYZA_RUFIPOGON	W3096	root			RNA-Seq	scientific_name=Oryza rufipogon; BioSample=SAMEA115396854; ENA_sample=ERS18417435; Experiment=ERX12707710; Run=ERR13336744; source=ENA PRJEB73710	ERX12707710	SAMEA115396854	1	ERR13336744	ERP158450	ILLUMINA	Illumina HiSeq 4000
