accession	project_code	project_name	dataset_code	dataset_name	dataset_type	ncbi_bioproject	ncbi_sra	external_url	description	run_count	experiment_count	ena_study	biosample_count	run_accessions	experiment_accessions	external_database
W2005	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2005_WGS	W2005 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336146;ERR13765442	ERX12707112;ERX13166614	ENA
W2022	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2022_RNASEQ	W2022 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336276;ERR13336407;ERR13336552;ERR13336699	ERX12707242;ERX12707373;ERX12707518;ERX12707665	ENA
W2022	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2022_WGS	W2022 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336147;ERR13765443	ERX12707113;ERX13166615	ENA
W2036	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2036_RNASEQ	W2036 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336277;ERR13336408;ERR13336553;ERR13336700	ERX12707243;ERX12707374;ERX12707519;ERX12707666	ENA
W2036	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2036_WGS	W2036 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336148;ERR13765444	ERX12707114;ERX13166616	ENA
W2051	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2051_RNASEQ	W2051 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336278;ERR13336409;ERR13336554;ERR13336701	ERX12707244;ERX12707375;ERX12707520;ERX12707667	ENA
W2051	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2051_WGS	W2051 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336149;ERR13765445	ERX12707115;ERX13166617	ENA
W2053	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2053_RNASEQ	W2053 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336279;ERR13336410;ERR13336555;ERR13336702	ERX12707245;ERX12707376;ERX12707521;ERX12707668	ENA
W2053	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2053_WGS	W2053 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336051;ERR13765446	ERX12707017;ERX13166618	ENA
W2064	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2064_RNASEQ	W2064 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336280;ERR13336411;ERR13336556;ERR13336703	ERX12707246;ERX12707377;ERX12707522;ERX12707669	ENA
W2064	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2064_WGS	W2064 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336150;ERR13765447	ERX12707116;ERX13166619	ENA
W2066	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2066_RNASEQ	W2066 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336281;ERR13336412;ERR13336557;ERR13336704	ERX12707247;ERX12707378;ERX12707523;ERX12707670	ENA
W2066	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2066_WGS	W2066 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336151;ERR13765448	ERX12707117;ERX13166620	ENA
W2099	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2099_HIC	W2099 Hi-C	hic	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=Hi-C; runs=1; experiments=1; biosamples=1	1	1	ERP158450	1	ERR13765525	ERX13166697	ENA
W2099	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2099_RNASEQ	W2099 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336282;ERR13336413;ERR13336558;ERR13336705	ERX12707248;ERX12707379;ERX12707524;ERX12707671	ENA
W2099	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2099_WGS	W2099 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336152;ERR13765449	ERX12707118;ERX13166621	ENA
W2108	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2108_RNASEQ	W2108 RNA-Seq	transcriptome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=RNA-Seq; runs=4; experiments=4; biosamples=1	4	4	ERP158450	1	ERR13336283;ERR13336414;ERR13336559;ERR13336706	ERX12707249;ERX12707380;ERX12707525;ERX12707672	ENA
W2108	PRJEB73710	A pangenome reference of wild and cultivated rice	PRJEB73710_W2108_WGS	W2108 WGS	genome	PRJEB73710		https://www.ebi.ac.uk/ena/browser/view/PRJEB73710	ENA study=ERP158450; library_strategy=WGS; runs=2; experiments=2; biosamples=1	2	2	ERP158450	1	ERR13336153;ERR13765450	ERX12707119;ERX13166622	ENA
