annotation_code	accession	assembly_code	annotation_name	annotation_version	species_code	scientific_name	source_database	external_project	file_name	file_type	description
ANN_W3052_PRJEB73710	W3052	ASM_W3052_PRJEB73710	W3052 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3052.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3054_PRJEB73710	W3054	ASM_W3054_PRJEB73710	W3054 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3054.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3055_PRJEB73710	W3055	ASM_W3055_PRJEB73710	W3055 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3055.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3063_PRJEB73710	W3063	ASM_W3063_PRJEB73710	W3063 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3063.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3066_PRJEB73710	W3066	ASM_W3066_PRJEB73710	W3066 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3066.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3071_PRJEB73710	W3071	ASM_W3071_PRJEB73710	W3071 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3071.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3074_PRJEB73710	W3074	ASM_W3074_PRJEB73710	W3074 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3074.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3082_PRJEB73710	W3082	ASM_W3082_PRJEB73710	W3082 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3082.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3086_PRJEB73710	W3086	ASM_W3086_PRJEB73710	W3086 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3086.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3088_PRJEB73710	W3088	ASM_W3088_PRJEB73710	W3088 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3088.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3090_PRJEB73710	W3090	ASM_W3090_PRJEB73710	W3090 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3090.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3092_PRJEB73710	W3092	ASM_W3092_PRJEB73710	W3092 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3092.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W3096_PRJEB73710	W3096	ASM_W3096_PRJEB73710	W3096 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W3096.gff	GFF	Genome annotation associated with rice pangenome assembly
