annotation_code	accession	assembly_code	annotation_name	annotation_version	species_code	scientific_name	source_database	external_project	file_name	file_type	description
ANN_W0632_PRJEB73710	W0632	ASM_W0632_PRJEB73710	W0632 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0632.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0634_PRJEB73710	W0634	ASM_W0634_PRJEB73710	W0634 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0634.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W0639_PRJEB73710	W0639	ASM_W0639_PRJEB73710	W0639 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W0639.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1080_PRJEB73710	W1080	ASM_W1080_PRJEB73710	W1080 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1080.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1084_PRJEB73710	W1084	ASM_W1084_PRJEB73710	W1084 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1084.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1093_PRJEB73710	W1093	ASM_W1093_PRJEB73710	W1093 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1093.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1107_PRJEB73710	W1107	ASM_W1107_PRJEB73710	W1107 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1107.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1117_PRJEB73710	W1117	ASM_W1117_PRJEB73710	W1117 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1117.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1126_PRJEB73710	W1126	ASM_W1126_PRJEB73710	W1126 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1126.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1142_PRJEB73710	W1142	ASM_W1142_PRJEB73710	W1142 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1142.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1214_PRJEB73710	W1214	ASM_W1214_PRJEB73710	W1214 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1214.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1236_PRJEB73710	W1236	ASM_W1236_PRJEB73710	W1236 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1236.gff	GFF	Genome annotation associated with rice pangenome assembly
ANN_W1292_PRJEB73710	W1292	ASM_W1292_PRJEB73710	W1292 genome annotation		ORYZA_RUFIPOGON	Oryza rufipogon	Figshare	PRJEB73710	annotation.W1292.gff	GFF	Genome annotation associated with rice pangenome assembly
