run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	experiment_accession	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	instrument_platform	instrument_model	fastq_ftp	fastq_md5	submitted_ftp	submitted_md5
ERR13336043	PRJEB73710	ERP158450	SAMEA115396718	ERS18417299	Rice GP622	GP622 ONT whole-genome sequencing	ERX12707009	Oryza sativa		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/043/ERR13336043/ERR13336043.fastq.gz	665092a23d098cafe593275b87bc3568	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336043/GP622.ont.fastq.gz	f03e36f4269cc002265629d5ca7706a5
ERR13336044	PRJEB73710	ERP158450	SAMEA115396719	ERS18417300	Rice GP635	GP635 ONT whole-genome sequencing	ERX12707010	Oryza sativa		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13336044/ERR13336044.fastq.gz	839fc26b21ec94d0ca8713d973eba1b7	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336044/GP635.ont.fastq.gz	f210ec99df1feed68150fdc92c77aa16
ERR13336047	PRJEB73710	ERP158450	SAMEA115396803	ERS18417384	Rice OM1952	OM1952 ONT whole-genome sequencing	ERX12707013	Oryza meridionalis		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/047/ERR13336047/ERR13336047.fastq.gz	65f19cee1c9b8b96e4b0c8f5429e1f28	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336047/OM1952.ont.fastq.gz	3847616cb47cdce8d7913f8edd212321
ERR13336052	PRJEB73710	ERP158450	SAMEA115396820	ERS18417401	Wild rice W2305	W2305 ONT whole-genome sequencing	ERX12707018	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13336052/ERR13336052.fastq.gz	5213385b1cb006161f719121dc33b79a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336052/W2305.ont.fastq.gz	8dff378f7d58a3c67b1512fd80354736
ERR13336054	PRJEB73710	ERP158450	SAMEA115396837	ERS18417418	Wild rice W3038	W3038 ONT whole-genome sequencing	ERX12707020	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	OXFORD_NANOPORE	PromethION	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/054/ERR13336054/ERR13336054.fastq.gz	450404279b2a979f335aa42536624558	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336054/W3038.ont.fastq.gz	1c1729d39b46f0f9586f274858bcba0b
ERR13336059	PRJEB73710	ERP158450	SAMEA115396711	ERS18417292	Rice GP117	GP117 HiFi whole-genome sequencing	ERX12707025	Oryza sativa		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II			ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336059/GP117.hifi.fastq.gz	0c783caf50b07ff58c43a1e8c67807bf
ERR13336067	PRJEB73710	ERP158450	SAMEA115396856	ERS18417437	Rice OL3102	OL3102 HiFi whole-genome sequencing	ERX12707033	Oryza longistaminata		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/067/ERR13336067/ERR13336067.fastq.gz	f9927fde876c02570d4815eba738a232	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336067/OL3102.hifi.fastq.gz	3545384d278fa337328cc24959cd6de9
ERR13336075	PRJEB73710	ERP158450	SAMEA115396731	ERS18417312	Wild rice W0143	W0143 HiFi whole-genome sequencing	ERX12707041	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/075/ERR13336075/ERR13336075.fastq.gz	b05e7216dee211c3a7a9434bb4b14bf8	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336075/W0143.hifi.fastq.gz	86f17fa21e1aab141ae165d70d7f6b9f
ERR13336081	PRJEB73710	ERP158450	SAMEA115396737	ERS18417318	Wild rice W0166	W0166 HiFi whole-genome sequencing	ERX12707047	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/081/ERR13336081/ERR13336081.fastq.gz	7588f265b4a8e2db49c7c7ebcf1c566f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336081/W0166.hifi.fastq.gz	d69993d6546f0752c4957d612af27fdb
ERR13336087	PRJEB73710	ERP158450	SAMEA115396743	ERS18417324	Wild rice W0573	W0573 HiFi whole-genome sequencing	ERX12707053	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/087/ERR13336087/ERR13336087.fastq.gz	97c6bd483bb0340e23b2c4491e87cb28	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336087/W0573.hifi.fastq.gz	b9c9577a39de0eb54d05c7bd8403bd63
ERR13336088	PRJEB73710	ERP158450	SAMEA115396744	ERS18417325	Wild rice W0590	W0590 HiFi whole-genome sequencing	ERX12707054	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/088/ERR13336088/ERR13336088.fastq.gz	36184549a6cd0a8d227c2e547d5f3d22	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336088/W0590.hifi.fastq.gz	f098a41737e42b98491d601a3cfbbaa4
ERR13336090	PRJEB73710	ERP158450	SAMEA115396746	ERS18417327	Wild rice W0596	W0596 HiFi whole-genome sequencing	ERX12707056	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/090/ERR13336090/ERR13336090.fastq.gz	8c42eaefc7762f0624189ca16a15326a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336090/W0596.hifi.fastq.gz	77a352d944583dfcdbad0e7f6e61b3f7
ERR13336095	PRJEB73710	ERP158450	SAMEA115396751	ERS18417332	Wild rice W0634	W0634 HiFi whole-genome sequencing	ERX12707061	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/095/ERR13336095/ERR13336095.fastq.gz	a25041214e1e2f446671a998a4bbdae5	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336095/W0634.hifi.fastq.gz	b0e4336a7c43432f6700d86f35c1a071
ERR13336096	PRJEB73710	ERP158450	SAMEA115396752	ERS18417333	Wild rice W0639	W0639 HiFi whole-genome sequencing	ERX12707062	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13336096/ERR13336096.fastq.gz	ab241cfeceaf3166a052aca4dd436cae	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336096/W0639.hifi.fastq.gz	5520a077e20e5037e42e8107597a2a4d
ERR13336097	PRJEB73710	ERP158450	SAMEA115396754	ERS18417335	Wild rice W1084	W1084 HiFi whole-genome sequencing	ERX12707063	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/097/ERR13336097/ERR13336097.fastq.gz	361e79f0050c15da766dd59359cb38b3	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336097/W1084.hifi.fastq.gz	71eb3f86fb01d6e48356b643d1013807
ERR13336104	PRJEB73710	ERP158450	SAMEA115396761	ERS18417342	Wild rice W1236	W1236 HiFi whole-genome sequencing	ERX12707070	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR13336104/ERR13336104.fastq.gz	ea7da1a2e3f9d23853f5ea209011d0bc	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336104/W1236.hifi.fastq.gz	77fbe5bf4db2634701ffecef4b36e38e
ERR13336105	PRJEB73710	ERP158450	SAMEA115396762	ERS18417343	Wild rice W1292	W1292 HiFi whole-genome sequencing	ERX12707071	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR13336105/ERR13336105.fastq.gz	d5cc4bf75a8a302b52ddb2f9d94903b6	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336105/W1292.hifi.fastq.gz	66bcdcb64364f096a3cfc2755f25ca17
ERR13336110	PRJEB73710	ERP158450	SAMEA115396767	ERS18417348	Wild rice W1553	W1553 HiFi whole-genome sequencing	ERX12707076	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13336110/ERR13336110.fastq.gz	f1160bc42e47da6765e40634431ce27c	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336110/W1553.hifi.fastq.gz	11dfbfa4cdd3f1ddbce842951ce5b3b1
ERR13336112	PRJEB73710	ERP158450	SAMEA115396769	ERS18417350	Wild rice W1557	W1557 HiFi whole-genome sequencing	ERX12707078	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/012/ERR13336112/ERR13336112.fastq.gz	1d77aaa605577fc33b1ec78c6003b5bf	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336112/W1557.hifi.fastq.gz	1a4b586f8da58a5e352c2432328134ba
ERR13336117	PRJEB73710	ERP158450	SAMEA115396774	ERS18417355	Wild rice W1677	W1677 HiFi whole-genome sequencing	ERX12707083	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/017/ERR13336117/ERR13336117.fastq.gz	5e2ebf13d0feeb92b4dfa6b6fcedff2b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336117/W1677.hifi.fastq.gz	144f3bc6fc774d24fb06b2b9a9ac988f
ERR13336118	PRJEB73710	ERP158450	SAMEA115396775	ERS18417356	Wild rice W1679	W1679 HiFi whole-genome sequencing	ERX12707084	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13336118/ERR13336118.fastq.gz	b42393e46e9741418cbfb004e42d4cb5	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336118/W1679.hifi.fastq.gz	5d69abb9ceb5a9a390386a333c5a9f12
ERR13336120	PRJEB73710	ERP158450	SAMEA115396777	ERS18417358	Wild rice W1719	W1719 HiFi whole-genome sequencing	ERX12707086	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13336120/ERR13336120.fastq.gz	baf157ce426b8e3689038f8abd525658	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336120/W1719.hifi.fastq.gz	345693ff7d09890dbbbedbb87d557794
ERR13336121	PRJEB73710	ERP158450	SAMEA115396779	ERS18417360	Wild rice W1725	W1725 HiFi whole-genome sequencing	ERX12707087	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/021/ERR13336121/ERR13336121.fastq.gz	bcc665a0a2c7d97fef32095fcb91d74f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336121/W1725.hifi.fastq.gz	fa0d7091c6ffc42473c899aeb9cf1d2d
ERR13336124	PRJEB73710	ERP158450	SAMEA115396782	ERS18417363	Wild rice W1732	W1732 HiFi whole-genome sequencing	ERX12707090	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/024/ERR13336124/ERR13336124.fastq.gz	e8c508d19a16ce1838a852ddca8ee861	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336124/W1732.hifi.fastq.gz	2ca45c81fb12c8497794e0cb29e6b82d
ERR13336125	PRJEB73710	ERP158450	SAMEA115396783	ERS18417364	Wild rice W1735	W1735 HiFi whole-genome sequencing	ERX12707091	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13336125/ERR13336125.fastq.gz	32a0f5d2e575931c87bab86f6cebf6b1	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336125/W1735.hifi.fastq.gz	6d626a428f0038a64ff7619acfc41d40
ERR13336128	PRJEB73710	ERP158450	SAMEA115396786	ERS18417367	Wild rice W1742	W1742 HiFi whole-genome sequencing	ERX12707094	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/028/ERR13336128/ERR13336128.fastq.gz	4036ee602645ba6cf9ddc5cde933f1fd	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336128/W1742.hifi.fastq.gz	99a9866c39528ad80626641427948d05
ERR13336130	PRJEB73710	ERP158450	SAMEA115396789	ERS18417370	Wild rice W1777	W1777 HiFi whole-genome sequencing	ERX12707096	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/030/ERR13336130/ERR13336130.fastq.gz	fd90565b8a11f78cc3616ead41a1353f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336130/W1777.hifi.fastq.gz	f21966cbf212bf4331387a660495c1cb
ERR13336131	PRJEB73710	ERP158450	SAMEA115396790	ERS18417371	Wild rice W1783	W1783 HiFi whole-genome sequencing	ERX12707097	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/031/ERR13336131/ERR13336131.fastq.gz	d2e2d791ffbb446444e5d0fc65b9bcaf	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336131/W1783.hifi.fastq.gz	94542563d2fc607084824f86e4cb7074
ERR13336135	PRJEB73710	ERP158450	SAMEA115396794	ERS18417375	Wild rice W1825	W1825 HiFi whole-genome sequencing	ERX12707101	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13336135/ERR13336135.fastq.gz	7d9ff98d17b8723c24945b6686b4b4e1	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336135/W1825.hifi.fastq.gz	85886a50cfa961a38ced65adc7c23fe4
ERR13336138	PRJEB73710	ERP158450	SAMEA115396797	ERS18417378	Wild rice W1865	W1865 HiFi whole-genome sequencing	ERX12707104	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/038/ERR13336138/ERR13336138.fastq.gz	8e6cc902ad7daf99f1d3a37933138d1f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336138/W1865.hifi.fastq.gz	8802bfb5918445122ea731006c18478e
ERR13336139	PRJEB73710	ERP158450	SAMEA115396798	ERS18417379	Wild rice W1880	W1880 HiFi whole-genome sequencing	ERX12707105	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/039/ERR13336139/ERR13336139.fastq.gz	4898ea44fb2636f6b8aa81e2d0bf89d6	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336139/W1880.hifi.fastq.gz	f033a77942fc3f3716d5c07532f752ae
ERR13336141	PRJEB73710	ERP158450	SAMEA115396800	ERS18417381	Wild rice W1895	W1895 HiFi whole-genome sequencing	ERX12707107	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/041/ERR13336141/ERR13336141.fastq.gz	a69a9130ac7b78ec91c67251a690c37f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336141/W1895.hifi.fastq.gz	d98d53dc1c363c702c29be0710471e15
ERR13336142	PRJEB73710	ERP158450	SAMEA115396801	ERS18417382	Wild rice W1919	W1919 HiFi whole-genome sequencing	ERX12707108	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/042/ERR13336142/ERR13336142.fastq.gz	3953133640de6015da6b043cca9706a4	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336142/W1919.hifi.fastq.gz	a51fbcde8163fe689754751971d27177
ERR13336144	PRJEB73710	ERP158450	SAMEA115396804	ERS18417385	Wild rice W1970	W1970 HiFi whole-genome sequencing	ERX12707110	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13336144/ERR13336144.fastq.gz	f9cc3c751e2fc2c8c8c8e52f1e72269c	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336144/W1970.hifi.fastq.gz	7a3b0c1b0e9fc94adbc16e8a8f5cb8d3
ERR13336155	PRJEB73710	ERP158450	SAMEA115396816	ERS18417397	Wild rice W2267	W2267 HiFi whole-genome sequencing	ERX12707121	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13336155/ERR13336155.fastq.gz	6a4cb794f0db783b6fbd9414f1dba903	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336155/W2267.hifi.fastq.gz	6007131bf8db325cc1346619aac04324
ERR13336157	PRJEB73710	ERP158450	SAMEA115396818	ERS18417399	Wild rice W2283	W2283 HiFi whole-genome sequencing	ERX12707123	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/057/ERR13336157/ERR13336157.fastq.gz	eb95fe96d789a91900aaadef04cf41e2	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336157/W2283.hifi.fastq.gz	aedc6a33df8d5375e82f4ae96df7dae1
ERR13336158	PRJEB73710	ERP158450	SAMEA115396821	ERS18417402	Wild rice W2308	W2308 HiFi whole-genome sequencing	ERX12707124	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/058/ERR13336158/ERR13336158.fastq.gz	810039f1d69bdfc76becf6da8f38d9d8	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336158/W2308.hifi.fastq.gz	e7128d7606240ae36c30d99e6815f23c
ERR13336159	PRJEB73710	ERP158450	SAMEA115396822	ERS18417403	Wild rice W2310	W2310 HiFi whole-genome sequencing	ERX12707125	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/059/ERR13336159/ERR13336159.fastq.gz	7a969c9111f57ddedb70a1042e6b95d5	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336159/W2310.hifi.fastq.gz	e71dca542aee725b55099353ea8d0a6c
ERR13336160	PRJEB73710	ERP158450	SAMEA115396823	ERS18417404	Wild rice W2311	W2311 HiFi whole-genome sequencing	ERX12707126	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/060/ERR13336160/ERR13336160.fastq.gz	68d0810a50112a5a24f6ba36f23b5e41	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336160/W2311.hifi.fastq.gz	a7ac1f460c468ceec42d3242f8df4e14
ERR13336171	PRJEB73710	ERP158450	SAMEA115396835	ERS18417416	Wild rice W3035	W3035 HiFi whole-genome sequencing	ERX12707137	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/071/ERR13336171/ERR13336171.fastq.gz	ae19eac1af13a6dd4216a3b27aa0f25d	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336171/W3035.hifi.fastq.gz	5a37acefaea9e8252fb1626496bb2573
ERR13336172	PRJEB73710	ERP158450	SAMEA115396836	ERS18417417	Wild rice W3037	W3037 HiFi whole-genome sequencing	ERX12707138	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13336172/ERR13336172.fastq.gz	fbaa77913f56e6b53ebd70ed20270818	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336172/W3037.hifi.fastq.gz	7ed8f5d95fa8e9a6a2784e4c81a21116
ERR13336173	PRJEB73710	ERP158450	SAMEA115396839	ERS18417420	Wild rice W3046	W3046 HiFi whole-genome sequencing	ERX12707139	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/073/ERR13336173/ERR13336173.fastq.gz	ed105728c3dd8ccda636ee7a9ffc0916	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336173/W3046.hifi.fastq.gz	3125a496dc588637dadcfb5f5f18fcef
ERR13336175	PRJEB73710	ERP158450	SAMEA115396841	ERS18417422	Wild rice W3051	W3051 HiFi whole-genome sequencing	ERX12707141	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/075/ERR13336175/ERR13336175.fastq.gz	6c3e1f46b470b80c26102980ce3d5d91	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336175/W3051.hifi.fastq.gz	9a7fd670c17bca991eb71c5f6c59ab4c
ERR13336176	PRJEB73710	ERP158450	SAMEA115396842	ERS18417423	Wild rice W3052	W3052 HiFi whole-genome sequencing	ERX12707142	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/076/ERR13336176/ERR13336176.fastq.gz	208b2cf2a7601ff8f012dcf014474290	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336176/W3052.hifi.fastq.gz	888cfe7bf04a92fc1e75281442d8edcb
ERR13336177	PRJEB73710	ERP158450	SAMEA115396843	ERS18417424	Wild rice W3054	W3054 HiFi whole-genome sequencing	ERX12707143	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/077/ERR13336177/ERR13336177.fastq.gz	9e39323a54b4b64e8bcc1318a20ed2b7	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336177/W3054.hifi.fastq.gz	878c72c6ef5947e39db677b028f6206d
ERR13336184	PRJEB73710	ERP158450	SAMEA115396850	ERS18417431	Wild rice W3086	W3086 HiFi whole-genome sequencing	ERX12707150	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/084/ERR13336184/ERR13336184.fastq.gz	ea7fcdc10236f8edcfcc54213e586b46	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336184/W3086.hifi.fastq.gz	213eb1da88c5fcacea0630ad980b2371
ERR13336188	PRJEB73710	ERP158450	SAMEA115396854	ERS18417435	Wild rice W3096	W3096 HiFi whole-genome sequencing	ERX12707154	Oryza rufipogon		SINGLE	WGS	GENOMIC	unspecified	PACBIO_SMRT	Sequel II	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/088/ERR13336188/ERR13336188.fastq.gz	4b9cdd6e0f778aad98b8fa803f4eb9a7	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336188/W3096.hifi.fastq.gz	9a33fe17243edbcdcdc823907c3d5686
ERR13336193	PRJEB73710	ERP158450	SAMEA115396710	ERS18417291	Rice GP100	GP100 HiFi whole-genome sequencing	ERX12707159	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/093/ERR13336193/ERR13336193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/093/ERR13336193/ERR13336193_2.fastq.gz	160483feeae45ad712f3fa8d8f154ff8;96891f80c9982d51640a5909e8e6df31	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336193/GP100_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336193/GP100_fringe_clean_2.fastq.gz	690beea807e2057e16fe8b4c69a48e3e;f3b25546f486affc43f22d3539f7a760
ERR13336196	PRJEB73710	ERP158450	SAMEA115396713	ERS18417294	Rice GP505	GP505 HiFi whole-genome sequencing	ERX12707162	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13336196/ERR13336196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13336196/ERR13336196_2.fastq.gz	e4410e64639e1da794ccef3ce803ccc0;31d2d95e0f74a41feebabf7817c5e328	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336196/GP505_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336196/GP505_fringe_clean_2.fastq.gz	9ae7fe000fe3b2705dca36bc9fc549cf;f934512e137f39069c69d2483d8a5e8a
ERR13336200	PRJEB73710	ERP158450	SAMEA115396717	ERS18417298	Rice GP58	GP58 HiFi whole-genome sequencing	ERX12707166	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR13336200/ERR13336200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR13336200/ERR13336200_2.fastq.gz	2bd8f5a61393e065af4f988c39f597b7;690224f1652827285adc45311e013923	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336200/GP58_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336200/GP58_fringe_clean_2.fastq.gz	90b624245a16ef9e4fe665799ca60260;c7cf803f7a6bc85f8d87b48042c8449b
