run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	experiment_accession	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	instrument_platform	instrument_model	fastq_ftp	fastq_md5	submitted_ftp	submitted_md5
ERR13336310	PRJEB73710	ERP158450	SAMEA115396850	ERS18417431	Wild rice W3086	W3086 HiFi whole-genome sequencing	ERX12707276	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13336310/ERR13336310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13336310/ERR13336310_2.fastq.gz	6bcb08815653c92b57f20cad0213a7d0;50526dd1236eba85481cb380aaed3e3b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336310/W3086_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336310/W3086_fringe_clean_2.fastq.gz	44cb5ad80b90c4ed98c87013cbb6e422;fc096b23ba0996536610fcc075f9044d
ERR13336313	PRJEB73710	ERP158450	SAMEA115396708	ERS18417289	Rice 534M	534M HiFi whole-genome sequencing	ERX12707279	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/013/ERR13336313/ERR13336313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/013/ERR13336313/ERR13336313_2.fastq.gz	fa570926a091a1eeef9e94cc13c60210;ad975e08dd9d47fbecfde84ce27f0226	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336313/534M_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336313/534M_seedling_clean_2.fastq.gz	d4253f32340c465c3d4fba60939f057e;9db8333ac8727cba76b37e9d3387fca5
ERR13336316	PRJEB73710	ERP158450	SAMEA115396711	ERS18417292	Rice GP117	GP117 HiFi whole-genome sequencing	ERX12707282	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/016/ERR13336316/ERR13336316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/016/ERR13336316/ERR13336316_2.fastq.gz	135267b15fe480c329e8dd9f540594ab;186bdd45d4f77149f5c366f8a9ea26a7	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336316/GP117_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336316/GP117_seedling_clean_2.fastq.gz	b025f8ffa8da3fc24b821ab27b09fcf8;ea5c168fae29ce4666a5f38c2f013ef0
ERR13336317	PRJEB73710	ERP158450	SAMEA115396712	ERS18417293	Rice GP119	GP119 ONT whole-genome sequencing	ERX12707283	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/017/ERR13336317/ERR13336317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/017/ERR13336317/ERR13336317_2.fastq.gz	84c290a39cfd88bb5ab920f9ede77ab7;ab0f55a27b2e429fa8533e1175c3ba96	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336317/GP119_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336317/GP119_seedling_clean_2.fastq.gz	e783ea6f1e8be6fdeddeeb81c96ed830;b57a4a873764536294109af92376dcfd
ERR13336318	PRJEB73710	ERP158450	SAMEA115396713	ERS18417294	Rice GP505	GP505 HiFi whole-genome sequencing	ERX12707284	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13336318/ERR13336318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/018/ERR13336318/ERR13336318_2.fastq.gz	59bc020ec463760d8b6856167a6f3bf7;e15a0d84ada43235ca78a918297f99ef	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336318/GP505_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336318/GP505_seedling_clean_2.fastq.gz	184e3c6ca4d57cef2579a62a20f6c1e2;8305d6b5245ac04283df78fe8c4e0a6d
ERR13336319	PRJEB73710	ERP158450	SAMEA115396714	ERS18417295	Rice GP523	GP523 ONT whole-genome sequencing	ERX12707285	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/019/ERR13336319/ERR13336319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/019/ERR13336319/ERR13336319_2.fastq.gz	59781e341ddfc219c624455b0e057092;b4375d6664a756626b7a188a861e4f7a	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336319/GP523_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336319/GP523_seedling_clean_2.fastq.gz	eadd5120612ef69ff97c26aca87f43bd;fa5526221d8f3d6ce36fa7bd57ca30dc
ERR13336325	PRJEB73710	ERP158450	SAMEA115396720	ERS18417301	Rice GP680	GP680 ONT whole-genome sequencing	ERX12707291	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13336325/ERR13336325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/025/ERR13336325/ERR13336325_2.fastq.gz	3a5d93b491025ca20c5db3aa07c9ad4a;01f2572e625a41739bb570b84530b23f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336325/GP680_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336325/GP680_seedling_clean_2.fastq.gz	1bcbafdccf41827aadca2a9f47a6d3c1;da740dc71835bf1c257c3a9cd64be15b
ERR13336326	PRJEB73710	ERP158450	SAMEA115396721	ERS18417302	Rice HP436	HP436 HiFi whole-genome sequencing	ERX12707292	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/026/ERR13336326/ERR13336326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/026/ERR13336326/ERR13336326_2.fastq.gz	0bde9c35222de924986dc8545d8257d7;293237223a86498e367bbe93badcd3b2	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336326/HP436_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336326/HP436_seedling_clean_2.fastq.gz	e8606bf4973e7c2c5bb0a7e30e6b1494;61918221516aefbfbf21d6e35294397c
ERR13336327	PRJEB73710	ERP158450	SAMEA115396722	ERS18417303	Rice HP519	HP519 ONT whole-genome sequencing	ERX12707293	Oryza sativa		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13336327/ERR13336327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/027/ERR13336327/ERR13336327_2.fastq.gz	137f29cc27bfd4f1064ad2b0bc56e7e4;3d33bdbb74095dce18196d1db0af71d2	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336327/HP519_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336327/HP519_seedling_clean_2.fastq.gz	e6729ac1b3448031c126af7a734ac05f;c3025c72bce8fa4804611fb3d58ca109
ERR13336335	PRJEB73710	ERP158450	SAMEA115396728	ERS18417309	Wild rice W0135	W0135 HiFi whole-genome sequencing	ERX12707301	Oryza rufipogon		PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	ILLUMINA	Illumina HiSeq 4000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13336335/ERR13336335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/035/ERR13336335/ERR13336335_2.fastq.gz	0f126895e69bb6e371aa79181a49b25d;5eb367459e7dbc81d8ed4fbbebdac62b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336335/W0135_seedling_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336335/W0135_seedling_clean_2.fastq.gz	ea18e9a31d8a2acf9c5fe7e4163dee29;1a60f52d2d7eaef71d5ee7864e43dfff
