source_accession_code	accession_code	sample_code	species_code	raw_data_type	sequencing_platform	file_role	cluster_name	file_path	file_size	md5	check_status	remark
井冈香占	JGXZ		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/home/mcui25/GenomeAssembly/jinggangxiangzhan/rawdata/m84104_260324_033014_s2.hifi_reads.bc2059.bam	14377403023	eff9446a49dc252af56304eac517867b	verified	项目: 井冈香占组装；负责人: 崔萌；是否压缩: 是
井冈香占	JGXZ		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/share/home/mcui25/transcription/jinggangxiangzhan/rawdata/jinggangxiangzhan_T260304_0006_1.fq.gz	3103113871	b2644b1716cf5bf45d5f30c70c3612fe	verified	项目: 井冈香占组装；负责人: 崔萌；是否压缩: 是
井冈香占	JGXZ		ORYZA_SATIVA	RNA-seq	PacBio Revio	raw_reads_R2		/share/home/mcui25/transcription/jinggangxiangzhan/rawdata/jinggangxiangzhan_T260304_0006_2.fq.gz	3393024163	343f5c421e1383beca57ae4d99ced71c	verified	项目: 井冈香占组装；负责人: 崔萌；是否压缩: 是
九香占	JXZ		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/home/mcui25/GenomeAssembly/jiuxiangzhan_929_/rawdata/m84104_260327_100529_s1.hifi_reads.bc2065.bam	131458211512	ebe7a2eaf641bb0cedd22b685005fdb5	verified	项目: 九香占组装；负责人: 崔萌；是否压缩: 是
九香占	JXZ		ORYZA_SATIVA	RNA-seq		raw_reads_R1		/share/home/mcui25/transcription/jiuxiangzhan_929/rawdata/jiuxiangzhan_929_T260304_0008_1.fq.gz	3264175144	cc76aa13c5af0c3cbd24cf9125a3f42a	verified	项目: 九香占组装；负责人: 崔萌；是否压缩: 是
九香占	JXZ		ORYZA_SATIVA	RNA-seq	PacBio Revio	raw_reads_R2		/share/home/mcui25/transcription/jiuxiangzhan_929/rawdata/jiuxiangzhan_929_T260304_0008_2.fq.gz	3650722201	a984f8b783f2bd162b78cfa6dc1f4c55	verified	项目: 九香占组装；负责人: 崔萌；是否压缩: 是
粮发香丝	LFXS		ORYZA_SATIVA	HiFi		hifi_reads		/share/home/yyli25/liangfaxiangsi/m84104_260324_033014_s2.hifi_reads.bc2061.bam	20701742366	3927326a466771b11ed3804d2622c71f	verified	项目: 粮发香丝组装；负责人: 李永烨；是否压缩: 是
粮发香丝	LFXS		ORYZA_SATIVA	RNA-seq		rnaseq_raw		/share/home/yyli26/liangfaxiangsi/liangfaxiangsi_T260331_0002-liangfaxiangsi_T260331_0002.zip	9792525434	5358ab191e96a113f277ec1714c060be	verified	项目: 粮发香丝组装；负责人: 李永烨；是否压缩: 是
千香丝	QXS		ORYZA_SATIVA	HiFi	PacBio Revio	hifi_reads		/share/home/yyli25/qianxiangsi/m84104_260324_040227_s3.hifi_reads.bc2062.bam	168309030912	921b4de0d7ae73386119d0dd4aa15e7b	verified	项目: 千香丝组装；负责人: 李永烨；是否压缩: 是
千香丝	QXS		ORYZA_SATIVA	RNA-seq		rnaseq_raw		/share/home/yyli26/qianxiangsi/qianxiangsi_T260304_0010-qianxiangsi_T260304_0010.zip	6474663198	095ad5d4fce2d74e48f3bc6c73fda355	verified	项目: 千香丝组装；负责人: 李永烨；是否压缩: 是
赣皖籼38	GWX38		ORYZA_SATIVA	RNA-seq		rnaseq_raw		/share/home/yyzhu25/annotation/1.rawdata/ganwanxian38hao_waiyin7hao_T260304_0007-ganwanxian38hao_waiyin7hao_T260304_0007/ganwanxian39hao_lianxiangzao_T260304_0003-ganwanxian39hao_lianxiangzao_T260304_0003.zip	6624987054	4cc1f27c2d2ca610dc390033b8cf55bd	verified	项目: 赣皖籼38号组装；负责人: 朱祎垚；是否压缩: 是
赣皖籼39	GWX39		ORYZA_SATIVA	RNA-seq		rnaseq_raw		/share/home/yyzhu25/annotation/1.rawdata/ganwanxian39hao_lianxiangzao_T260304_0003-ganwanxian39hao_lianxiangzao_T260304_0003/ganwanxian38hao_waiyin7hao_T260304_0007-ganwanxian38hao_waiyin7hao_T260304_0007.zip	6431713525	f370f73c79073caeacbe623ae6659099	verified	项目: 赣皖籼39号组装；负责人: 朱祎垚；是否压缩: 是
33S	33S		ORYZA_SATIVA	PacBio CLR		hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64083_191017_090551.subreads.bam	261993005056		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
66S	66S		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64033_191018_100943.subreads.bam	281320357888		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
17S	17S		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64033_191018_100943.subreads.bam	215822106624		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
201B	201B		ORYZA_SATIVA			hifi_reads		/home/DATA/whzhang_backup/8Rice/8rice-raw-data/m64083_200121_060126.subreads.bam	195421011968		unchecked	项目: 8Rice；负责人: 张文慧；是否压缩: 是
