run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR13336196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13336196/ERR13336196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/096/ERR13336196/ERR13336196_2.fastq.gz	3420326806;3623942481	e4410e64639e1da794ccef3ce803ccc0;31d2d95e0f74a41feebabf7817c5e328	ftp.sra.ebi.ac.uk/vol1/err/ERR133/096/ERR13336196/ERR13336196.bam	6883954145	42171ac99bf455c00cb33e5a5ae6441b	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336196/GP505_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336196/GP505_fringe_clean_2.fastq.gz	3326044086;3530796918	9ae7fe000fe3b2705dca36bc9fc549cf;f934512e137f39069c69d2483d8a5e8a			
ERR13336200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR13336200/ERR13336200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR13336200/ERR13336200_2.fastq.gz	3405395444;3549194346	2bd8f5a61393e065af4f988c39f597b7;690224f1652827285adc45311e013923	ftp.sra.ebi.ac.uk/vol1/err/ERR133/000/ERR13336200/ERR13336200.bam	6864916270	8e580443a820a3708b145b37b3d336a0	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336200/GP58_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336200/GP58_fringe_clean_2.fastq.gz	3307678202;3449051264	90b624245a16ef9e4fe665799ca60260;c7cf803f7a6bc85f8d87b48042c8449b			
ERR13336203	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR13336203/ERR13336203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR13336203/ERR13336203_2.fastq.gz	6154169430;6432997332	240e516cb26aa1c1366f4dcde7ec58f7;9b62c6dcc5fd2c547fdf19db4e64da79	ftp.sra.ebi.ac.uk/vol1/err/ERR133/003/ERR13336203/ERR13336203.bam	12405432637	1a07efc34995b52db536341db748338f	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336203/GP680_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336203/GP680_fringe_clean_2.fastq.gz	5944534861;6220052569	50f96c6c4712e55aa4176ddd84b6555b;470366156f6b7bcce55100a7ef9dfa8b			
ERR13336205	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR13336205/ERR13336205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR13336205/ERR13336205_2.fastq.gz	4322737421;4633496636	bbcfdb674a2df382c4f0d70e0e2fe5aa;732bd46407ec16c1ad531264db74c6f0	ftp.sra.ebi.ac.uk/vol1/err/ERR133/005/ERR13336205/ERR13336205.bam	8843068507	41f313e903283364550d3c580c12507e	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336205/HP519_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336205/HP519_fringe_clean_2.fastq.gz	4173705953;4476294391	3fe5f59bf69fcb3300a58345e415c11e;f87b47e305f9beaaf1b306a917867971			
ERR13336206	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13336206/ERR13336206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13336206/ERR13336206_2.fastq.gz	4271348661;4384027388	fa84b2ac8e2a543f2cfac5852bb88852;f4d638d9a4845dba40c170e2424363f4	ftp.sra.ebi.ac.uk/vol1/err/ERR133/006/ERR13336206/ERR13336206.bam	8491976343	b9ecfe90417d4ee4fe2d95c05bd907d0	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336206/Nip_hifi_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336206/Nip_hifi_fringe_clean_2.fastq.gz	4126361007;4235210591	c9ce8c5c6cbed67cb3090f0a80685cb3;96b463425f3fa0d50f34e11069a0f739			
ERR13336208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR13336208/ERR13336208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR13336208/ERR13336208_2.fastq.gz	2353589642;2331580509	f0fea1fb56a2a5757f81f805726fc38b;62fa66e1eeceb58a22bff6ea348c9f94	ftp.sra.ebi.ac.uk/vol1/err/ERR133/008/ERR13336208/ERR13336208.bam	4540974981	7453f7566aeb7216dd0a619992050ef3	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336208/W0103_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336208/W0103_fringe_clean_2.fastq.gz	2241609962;2219321106	0a8c5e105022717a7f0ac3969a9082c7;c3fe0be0b9a343ddf9e60984fb6ef39a			
ERR13336210	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13336210/ERR13336210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/010/ERR13336210/ERR13336210_2.fastq.gz	2598692887;2977429864	0c5255672979f12364ceb29287eddd29;0dc4ac8fff810c48f56052d56456c777	ftp.sra.ebi.ac.uk/vol1/err/ERR133/010/ERR13336210/ERR13336210.bam	5543403734	6873b582015de59dc12a8d93c5cca037	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336210/W0108_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336210/W0108_fringe_clean_2.fastq.gz	2488747600;2873596371	e9f5f61ca854f489755bd97a4e85ea82;61001b20808ed429a3222bf1778ec910			
ERR13336219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/019/ERR13336219/ERR13336219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/019/ERR13336219/ERR13336219_2.fastq.gz	2832352065;3066326069	80ea9e6693f521d276cba63ee0799ba5;1d9b279deaf5827411d50504b6f737b0	ftp.sra.ebi.ac.uk/vol1/err/ERR133/019/ERR13336219/ERR13336219.bam	5811932029	95cdbc24f44b2c024f360afb2b4608e3	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336219/W0164_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336219/W0164_fringe_clean_2.fastq.gz	2709608103;2946380047	9054e71e640f1ed701093afb5991dc26;17bb5535ebc9c4e5372b267ef8a52745			
ERR13336220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13336220/ERR13336220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/020/ERR13336220/ERR13336220_2.fastq.gz	2889911933;2618074241	825368e70dce0413cf5c86e44daa9967;3a6e2ffff4a8ac16da7c226f246b2cb0	ftp.sra.ebi.ac.uk/vol1/err/ERR133/020/ERR13336220/ERR13336220.bam	5766291155	632a4b307642b8e37c4addb886a05201	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336220/W0166_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336220/W0166_fringe_clean_2.fastq.gz	2764991451;2487226501	58639788bb2fa9e154c3e749671d12c6;f94c316129f6ca0157b454a7b4b85948			
ERR13336221	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/021/ERR13336221/ERR13336221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/021/ERR13336221/ERR13336221_2.fastq.gz	3683105895;4200458584	569a720e17aaade5c9a7d08cee633740;7427c633ca9eb715ec164c3f0fae10b7	ftp.sra.ebi.ac.uk/vol1/err/ERR133/021/ERR13336221/ERR13336221.bam	7819362919	0292f2ab0b5af1cb4f9eef35b88008a8	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336221/W0169_fringe_clean_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13336221/W0169_fringe_clean_2.fastq.gz	3523290194;4045520066	a8f40ef63644c2ed8ba5f749d455a4ab;80daebd38a901f1e0c273773094484f2			
