file_path	file_name	category	accession_code	warnings
D:\gene_manage_system\gene_manage_system\manual_files\core_variable_combined_step1.png	core_variable_combined_step1.png			invalid_name_or_category
D:\gene_manage_system\gene_manage_system\manual_files\genome.tt1.fa	genome.tt1.fa	genome	tt1	no_related_object
D:\gene_manage_system\gene_manage_system\manual_files\supplymentary_data.txt	supplymentary_data.txt			invalid_name_or_category
