annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_Basmati1	Basmati1	ASM_Basmati1	Basmati1 annotation		true	ORYZA_SATIVA				annotation.Basmati1.gff	GFF	
ANN_Basmati334	Basmati334	ASM_Basmati334	Basmati334 annotation		true	ORYZA_SATIVA				annotation.Basmati334.gff	GFF	
ANN_Bawangbian 1	Bawangbian 1	ASM_Bawangbian 1	Bawangbian 1 annotation		true	ORYZA_SATIVA				annotation.Bawangbian 1.gff	GFF	
ANN_Baxiang	Baxiang	ASM_Baxiang	Baxiang annotation		true	ORYZA_SATIVA				annotation.Baxiang.gff	GFF	
ANN_Biwusheng	Biwusheng	ASM_Biwusheng	Biwusheng annotation		true	ORYZA_SATIVA				annotation.Biwusheng.gff	GFF	
ANN_BRC 25-146-2-1	BRC 25-146-2-1	ASM_BRC 25-146-2-1	BRC 25-146-2-1 annotation		true	ORYZA_SATIVA				annotation.BRC 25-146-2-1.gff	GFF	
ANN_Buleida A-75	Buleida A-75	ASM_Buleida A-75	Buleida A-75 annotation		true	ORYZA_SATIVA				annotation.Buleida A-75.gff	GFF	
ANN_BW 293-2	BW 293-2	ASM_BW 293-2	BW 293-2 annotation		true	ORYZA_SATIVA				annotation.BW 293-2.gff	GFF	
ANN_C 894-21	C 894-21	ASM_C 894-21	C 894-21 annotation		true	ORYZA_SATIVA				annotation.C 894-21.gff	GFF	
ANN_C62S	C62S	ASM_C62S	C62S annotation		true	ORYZA_SATIVA				annotation.C62S.gff	GFF	
ANN_C7	C7	ASM_C7	C7 annotation		true	ORYZA_SATIVA				annotation.C7.gff	GFF	
ANN_CG14	CG14	ASM_CG14	CG14 annotation		true	ORYZA_SATIVA				annotation.CG14.gff	GFF	
ANN_CG14_IGDBv1_Allset	CG14	ASM_CG14	CG14 IGDBv1.Allset annotation	IGDBv1.Allset	false	ORYZA_SATIVA				annotation.CG14.IGDBv1.Allset.gff	GFF	
ANN_CHANH 148	CHANH 148	ASM_CHANH 148	CHANH 148 annotation		true	ORYZA_SATIVA				annotation.CHANH 148.gff	GFF	
